"Auto_Italienische_Reise.11f7b.0" "Drama_Die_Mitschuldigen.11hb1.0" "Drama_Egmont.11g9w.0" "Drama_Faust_Der_Trag_die_zweiter_Teil.11d11.0" "Drama_Faust_in_urspr_nglicher_Gestalt_.11f7n.0" "Drama_G_tter_Helden_und_Wieland.11h60.0" "Drama_G_tz_von_Berlichingen_mit_der_eisernen_Hand.11g1d.0" "Drama_Iphigenie_auf_Tauris.11f78.0" "Drama_Prometheus.11gx9.0" "Drama_Satyros_oder_der_verg_tterte_Waldteufel.11gn9.0" "Lyrik_Elegien_1.11df4.0" "Lyrik_Elegien_2_Alexis_und_Dora.11g90.0" "Lyrik_Elegien_2_Der_neue_Pausias_und_sein_Blumenm_dchen.11g73.0" "Lyrik_Elegien_2_Euphrosyne.11ft0.0" "Lyrik_Gott_Gem_t_und_Welt.11hks.0" "Lyrik_Zahme_Xenien_4.11d4r.0" "Roman_Die_Leiden_des_jungen_Werther.11cvr.0" "Roman_Die_Wahlverwandtschaften.11hnp.0" "Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0"
"daß" 0.63039562760077 0.372489024876946 0.657945661428903 0.211010132664786 0.49691432235313 0.760869565217391 0.485641891891892 0.408917029415644 0.319343065693431 0.192184497117233 0.179694519317161 0.0677506775067751 0.218023255813953 0.148257968865827 0.592592592592593 0.424728645587541 0.676909035594767 0.729392761597093 0.783997203314894
"wie" 0.475125768585802 1.11746707463084 0.793405062311324 0.827326856784707 0.737356736394967 0.760869565217391 0.830518018018018 0.672734467748318 0.547445255474453 0.736707238949391 0.516621743036837 0.880758807588076 0.726744186046512 0.593031875463306 0.592592592592593 0.707881075979235 0.821417706114998 0.553985159759729 0.521807974665323
"mir" 0.512390534749394 0.784887588133564 0.685037541605387 0.526480727044814 0.873607437685341 0.46195652173913 0.826998873873874 0.837620366706239 0.775547445255474 0.992953235105701 1.28032345013477 1.69376693766938 1.23546511627907 1.63083765752409 0.148148148148148 0.755073147711185 0.960855896967853 0.297814345565595 0.506899175389171
"als" 0.53568101360164 0.279366768657709 0.398637665453982 0.323827431317246 0.440811092410034 0.625 0.436373873873874 0.270412874290991 0.364963503649635 0.25624599615631 0.292003593890386 0.2710027100271 0.290697674418605 0.22238695329874 0.148148148148148 0.519112789051439 0.491836527735524 0.677653828681036 0.654958975097164
"an" 0.581485622011055 0.385792204336837 0.433470082823748 0.522302308576204 0.625150276508776 0.407608695652174 0.446931306306306 0.554016620498615 0.364963503649635 0.576553491351698 0.359389038634322 0.5420054200542 0.218023255813953 0.741289844329133 0.296296296296296 0.188768286927796 0.583105161748301 0.507293927615971 0.561907503752905
"mich" 0.451058940438482 0.838100305973128 0.681167273008747 0.5640864932623 0.80147471347279 0.46195652173913 0.686233108108108 0.903574726289408 0.684306569343066 0.608584240871236 0.763701707097934 0.677506775067751 0.726744186046512 2.07561156412157 0 0.707881075979235 0.930433018963594 0.256170814194135 0.452404943552201
"war" 0.361778771504875 0.452308101636291 0.208994504218593 0.175493575681605 0.288530896850204 0.271739130434783 0.306165540540541 0.164885898957921 0.182481751824818 0.128122998078155 0.314465408805031 0.203252032520325 0.145348837209302 0 0.296296296296296 0.330344502123643 0.532400365074536 0.700368482156378 0.762919245717576
"man" 0.741413576796472 0.359185845417055 0.336713367907733 0.307113757442808 0.240442414041837 0.271739130434783 0.165399774774775 0.112122411291386 0.0456204379562044 0.128122998078155 0 0.13550135501355 0 0 0 0.943841434638981 0.233242064699321 0.715511584473272 0.525920746879434
"ihr" 0.146730016769145 0.598643075695091 0.715999690378512 0.551551237856471 1.0339023803799 1.6304347826087 1.2598536036036 0.468275953040496 0.912408759124088 0.800768737988469 0.853548966756514 0.5420054200542 0.145348837209302 0 0.444444444444444 0.283152430391694 0.608457560085184 0.497198526071374 0.395854325608176
"eine" 0.601670703683001 0.0665158972994546 0.290270144748046 0.102371252480936 0.264486655446021 0.434782608695652 0.281531531531532 0.204458514707822 0.364963503649635 0.25624599615631 0.157232704402516 0.0677506775067751 0.0726744186046512 0.0741289844329133 0.296296296296296 0.188768286927796 0.433526011560694 0.583009439200444 0.533632194780892
"was" 0.256195267374697 0.8780098443528 0.692778078798669 0.591246213308263 0.721327242125511 0.896739130434783 0.63696509009009 0.441894209207229 1.23175182481752 0.51249199231262 0.157232704402516 0.0677506775067751 0.218023255813953 0.148257968865827 0.888888888888889 1.32137800849457 0.400567893722746 0.492150825299076 0.379403236751732
"wir" 0.493758151667598 0.0931222562192364 0.553448409319607 0.599603050245482 0.264486655446021 0.326086956521739 0.714386261261261 0.25062656641604 0.319343065693431 0.192184497117233 0.359389038634322 0.0677506775067751 0.218023255813953 0 0.148148148148148 0.330344502123643 0.342257377547916 0.412649538135379 0.35781118262765
"des" 0.531799267126265 0.1463349740588 0.425729545630467 0.411574219158049 0.184339184098742 0.271739130434783 0.313203828828829 0.75187969924812 0.410583941605839 0.576553491351698 0.516621743036837 0.338753387533875 0.872093023255814 0.593031875463306 0 0.141576215195847 0.436061251394382 0.373529857150068 0.393283842974357
"wenn" 0.292683684243215 0.412398563256618 0.642464587042341 0.259061945053797 0.360663621062755 0.407608695652174 0.563063063063063 0.303390054082575 0.364963503649635 0.128122998078155 0.202156334231806 0.0677506775067751 0 0.44477390659748 0.148148148148148 0.943841434638981 0.583105161748301 0.43788804199687 0.423101441526661
"auch" 0.494534500962673 0.305973127577491 0.367675516680858 0.392771336049305 0.256471908311293 0.326086956521739 0.193552927927928 0.309985490040892 0.319343065693431 0.288276745675849 0.471698113207547 0.880758807588076 0.508720930232558 0.44477390659748 0.592592592592593 0.896649362907032 0.294087820707839 0.453031144313765 0.377346850644677
"nur" 0.313645115210235 0.572036716775309 0.352194442294295 0.357254779066123 0.464855333814218 0.16304347826087 0.267454954954955 0.257222002374357 0 0.352338244714926 0.449236298292902 0.474254742547426 1.23546511627907 0.296515937731653 0.592592592592593 0.660689004247286 0.235777304533009 0.445459593155318 0.441094819963396
"du" 0.0139742873113471 0.758281229213782 0.924994194597105 0.814791601378878 0.857577943415885 0.815217391304348 0.911458333333333 1.30589631974674 1.59671532846715 0.480461242793081 0.808625336927224 1.42276422764228 1.88953488372093 1.92735359525575 1.18518518518519 1.22699386503067 0.578034682080925 0.214527282822674 0.16759546772502
"nach" 0.41068877709459 0.0532127178395637 0.313491756327889 0.244437480413663 0.248457161176565 0.135869565217391 0.263935810810811 0.263817438332674 0.182481751824818 0.0960922485586163 0.471698113207547 0.40650406504065 0.363372093023256 0.22238695329874 0.296296296296296 0.235960358659745 0.344792617381604 0.367220231184695 0.377860947171441
"ihm" 0.148282715359294 0.345882665957164 0.394767396857342 0.202653295727567 0.200368678368197 0.0815217391304348 0.344876126126126 0.35615354174911 0.0912408759124088 0.128122998078155 0.247079964061096 0.13550135501355 0.218023255813953 0 0.444444444444444 0.188768286927796 0.332116418213163 0.391196809853112 0.499701824014477
"noch" 0.361778771504875 0.412398563256618 0.356064710890936 0.246526689647968 0.312575138254388 0.353260869565217 0.309684684684685 0.263817438332674 0.182481751824818 0.0960922485586163 0.471698113207547 0.5420054200542 0.581395348837209 0.815418828762046 0.148148148148148 0.141576215195847 0.304228780042592 0.352077128867801 0.318739846593596
"sein" 0.201074467424384 0.305973127577491 0.344453905101014 0.1734043664473 0.272501402580749 0.407608695652174 0.524352477477477 0.237435694499406 0.364963503649635 0.576553491351698 0.157232704402516 0 0.145348837209302 0.0741289844329133 0.296296296296296 0.377536573855592 0.413244092891188 0.338195951743981 0.384544202019371
"uns" 0.345475436308304 0.172941332978582 0.452821425806951 0.430377102266792 0.168309689829286 0.516304347826087 0.316722972972973 0.554016620498615 0.182481751824818 0.384368994234465 0.269541778975741 0.338753387533875 0.145348837209302 0 0 0.566304860783388 0.212960146029814 0.287718944020998 0.281210800139834
"aus" 0.326843053226508 0.266063589197818 0.298010681941327 0.298756920505589 0.232427666907109 0.244565217391304 0.24634009009009 0.283603746207624 0.182481751824818 0.352338244714926 0.269541778975741 0.13550135501355 0.290697674418605 0.148257968865827 0.296296296296296 0.047192071731949 0.299158300375216 0.306647821917117 0.343416479878262
"ihn" 0.114899695671076 0.492217640015964 0.402507934050623 0.211010132664786 0.280516149715477 0.326086956521739 0.524352477477477 0.283603746207624 0.319343065693431 0.448430493273543 0.269541778975741 0.203252032520325 0.363372093023256 0.148257968865827 0.296296296296296 0 0.32197545887841 0.291504719600222 0.428756503321064
"einen" 0.347804484193528 0.1463349740588 0.305751219134608 0.0605870677948397 0.312575138254388 0.271739130434783 0.341356981981982 0.158290462999604 0.182481751824818 0.25624599615631 0.0673854447439353 0.0677506775067751 0.218023255813953 0.0741289844329133 0 0.0943841434638981 0.339722137714228 0.287718944020998 0.329535873655638
"aber" 0.404477982733992 0 0.170291818252187 0.158779901807166 0.0961769656167348 0.217391304347826 0.14428490990991 0.0461680517082179 0 0.160153747597694 0.336927223719677 0.338753387533875 0.726744186046512 0.518902891030393 0.148148148148148 0.613496932515337 0.200283946861373 0.427792640452274 0.295605502889222
"doch" 0.272498602571269 0.598643075695091 0.243826921588358 0.727044813538076 0.448825839544762 0.407608695652174 0.179476351351351 0.277008310249307 0.182481751824818 0.320307495195388 0.471698113207547 0.2710027100271 0.654069767441861 0.593031875463306 0.148148148148148 0.424728645587541 0.223101105364567 0.271313916511029 0.204096321125254
"im" 0.280262095522017 0.345882665957164 0.166421549655546 0.570354120965215 0.368678368197483 0.217391304347826 0.249859234234234 0.217649386624456 0.364963503649635 0.448430493273543 0.292003593890386 0.5420054200542 0.436046511627907 0.518902891030393 0.888888888888889 0.613496932515337 0.268735422370956 0.283933168441775 0.226716568302865
"hatte" 0.152940811129744 0.0133031794598909 0.0348324173697655 0.00208920923430482 0.0320589885389116 0.217391304347826 0.0950168918918919 0.00659543595831684 0 0 0 0 0.218023255813953 0 0 0 0.218030625697191 0.453031144313765 0.516152912870921
"da" 0.261629712440221 0.5853398962352 0.301880950537967 0.357254779066123 0.432796345275307 0.489130434782609 0.464527027027027 0.171481334916238 0.136861313868613 0.480461242793081 0.224618149146451 0.813008130081301 0.436046511627907 0.148257968865827 0.740740740740741 0.519112789051439 0.441131731061758 0.18550300338196 0.221061506508462
"um" 0.259300664554997 0.199547691898364 0.251567458781639 0.200564086493262 0.224412919772381 0.108695652173913 0.218186936936937 0.25062656641604 0.410583941605839 0.192184497117233 0.0898472596585804 0.0677506775067751 0.0726744186046512 0.148257968865827 0 0.235960358659745 0.403103133556434 0.344505577709353 0.262189228649571
"durch" 0.333830196882181 0.0931222562192364 0.220605310008515 0.167136738744385 0.15228019555983 0.0271739130434783 0.123170045045045 0.270412874290991 0.182481751824818 0.128122998078155 0.134770889487871 0.203252032520325 0 0.296515937731653 0.148148148148148 0 0.147043910353919 0.324314774620161 0.288922248041292
"s" 0.0644369914912117 1.64959425302647 0.57667002089945 0.84612973989345 0.817504207742246 0.625 0.767173423423423 0.369344413665743 0.136861313868613 0.704676489429853 0.247079964061096 0 0 0.0741289844329133 0.592592592592593 1.03822557810288 0.296623060541527 0.00504770077229822 0.0565506179440252
"vor" 0.249208123719024 0.332579486497273 0.25543772737828 0.200564086493262 0.30456039111966 0.16304347826087 0.200591216216216 0.290199182165941 0.0912408759124088 0.224215246636771 0.0898472596585804 0.338753387533875 0.290697674418605 0.22238695329874 0.444444444444444 0.141576215195847 0.278876381705709 0.225884609560345 0.239054884945197
"nun" 0.315197813800385 0.305973127577491 0.228345847201796 0.33845189595738 0.312575138254388 0.190217391304348 0.112612612612613 0.197863078749505 0.136861313868613 0.192184497117233 0.404312668463612 0.609756097560976 0.363372093023256 0.22238695329874 0 0.424728645587541 0.200283946861373 0.212003432436525 0.194328487116741
"einem" 0.325290354636358 0.199547691898364 0.243826921588358 0.022981301577353 0.0961769656167348 0.16304347826087 0.154842342342342 0.151695027041287 0.0456204379562044 0.25624599615631 0.0449236298292902 0 0.0726744186046512 0.0741289844329133 0.148148148148148 0.141576215195847 0.26366494270358 0.243551562263389 0.270414773077793
"für" 0.211943357555431 0.319276307037382 0.282529607554764 0.1734043664473 0.232427666907109 0.543478260869565 0.147804054054054 0.138504155124654 0.273722627737226 0.384368994234465 0.0673854447439353 0.203252032520325 0.436046511627907 0 0.296296296296296 0.330344502123643 0.17493154852449 0.325576699813235 0.240597174525489
"bei" 0.248431774423949 0.172941332978582 0.181902624042109 0.119084926355374 0.160294942694558 0.244565217391304 0.179476351351351 0.0527634876665348 0.0912408759124088 0.224215246636771 0.0898472596585804 0.0677506775067751 0.145348837209302 0.148257968865827 0 0.188768286927796 0.17493154852449 0.266266215738731 0.293035020255403
"denn" 0.26784050680082 0.252760409737927 0.139329669479062 0.267418781991016 0.0881622184820069 0.326086956521739 0.140765765765766 0.303390054082575 0.0912408759124088 0.288276745675849 0.404312668463612 0.0677506775067751 0 0.296515937731653 0.296296296296296 0.47192071731949 0.185072507859243 0.257432739387209 0.205638610705546
"einer" 0.262406061735296 0.0399095383796727 0.162551281058905 0.0626762770291445 0.0881622184820069 0.244565217391304 0.158361486486486 0.158290462999604 0.136861313868613 0.25624599615631 0.0673854447439353 0.0677506775067751 0.0726744186046512 0 0.148148148148148 0.0943841434638981 0.220565865530879 0.253646963807985 0.250879105060766
"sind" 0.26939320539097 0.1463349740588 0.325102562117811 0.361433197534733 0.112206459886191 0.244565217391304 0.365990990990991 0.204458514707822 0.501824817518248 0.0960922485586163 0.202156334231806 0.0677506775067751 0.436046511627907 0.0741289844329133 0.148148148148148 0.283152430391694 0.197748707027685 0.15521679874817 0.145489317074174
"seine" 0.132755729457798 0.0399095383796727 0.185772892638749 0.0313381385145722 0.0561032299430953 0.271739130434783 0.119650900900901 0.112122411291386 0.182481751824818 0.0640614990390775 0.0449236298292902 0.0677506775067751 0.145348837209302 0.0741289844329133 0.148148148148148 0.141576215195847 0.19014298752662 0.229670385139569 0.34444467293179
"hat" 0.244550027948575 0.425701742716509 0.344453905101014 0.208920923430482 0.328604632523844 0.298913043478261 0.249859234234234 0.158290462999604 0.228102189781022 0.352338244714926 0.112309074573226 0 0.145348837209302 0 0.296296296296296 0.283152430391694 0.276341141872021 0.137549846045126 0.159884019823562
"alles" 0.222812247686479 0.0931222562192364 0.205124235621952 0.160869111041471 0.160294942694558 0.190217391304348 0.175957207207207 0.0461680517082179 0.501824817518248 0.192184497117233 0.112309074573226 0.13550135501355 0.0726744186046512 0.22238695329874 0 0.235960358659745 0.296623060541527 0.238503861491091 0.176335108680006
"über" 0.232128439227377 0.0399095383796727 0.158681012462265 0.0647654862634493 0.136250701290374 0.135869565217391 0.116131756756757 0.0527634876665348 0.0912408759124088 0.0640614990390775 0.157232704402516 0.13550135501355 0.0726744186046512 0.296515937731653 0.148148148148148 0.0943841434638981 0.261129702869892 0.225884609560345 0.210265479446421
"selbst" 0.149835413949444 0.106425435679127 0.170291818252187 0.179671994150214 0.0961769656167348 0.0815217391304348 0.105574324324324 0.204458514707822 0.364963503649635 0.0320307495195388 0.134770889487871 0 0.218023255813953 0.370644922164566 0.148148148148148 0.424728645587541 0.162255349356049 0.253646963807985 0.218491023874643
"wieder" 0.203403515309608 0.0399095383796727 0.150940475268984 0.079389950903583 0.120221207020918 0.108695652173913 0.190033783783784 0.118717847249703 0.182481751824818 0.0960922485586163 0.134770889487871 0 0.0726744186046512 0.148257968865827 0.296296296296296 0.047192071731949 0.228171585031944 0.232194235525718 0.201525838491435
"wird" 0.230575740637227 0.199547691898364 0.278659338958124 0.231902225007835 0.224412919772381 0.0815217391304348 0.278012387387387 0.151695027041287 0.0912408759124088 0.0640614990390775 0.179694519317161 0 0.0726744186046512 0.0741289844329133 1.92592592592593 0.660689004247286 0.17493154852449 0.143859472010499 0.136235579592424
"haben" 0.208061611080057 0.1463349740588 0.236086384395077 0.0981928340123263 0.080147471347279 0.407608695652174 0.285050675675676 0.0923361034164358 0.228102189781022 0.0960922485586163 0.0449236298292902 0 0 0 0 0.047192071731949 0.157184869688673 0.156478723941245 0.210779575973185
"werden" 0.222035898391404 0.0532127178395637 0.201253967025312 0.0292489292802674 0.0561032299430953 0.135869565217391 0.235782657657658 0.0395726157499011 0.0912408759124088 0.0320307495195388 0 0.0677506775067751 0 0.0741289844329133 0.296296296296296 0.141576215195847 0.149579150187608 0.214527282822674 0.215920541240823
"ihre" 0.139742873113471 0.0798190767593455 0.108367520705937 0.0271597200459626 0.0641179770778232 0.217391304347826 0.105574324324324 0.0659543595831684 0.364963503649635 0.0320307495195388 0 0 0 0 0 0 0.289017341040462 0.25490888900106 0.250879105060766
"diese" 0.261629712440221 0.0133031794598909 0.166421549655546 0.0647654862634493 0.0561032299430953 0.0271739130434783 0.0387105855855856 0.0659543595831684 0.182481751824818 0.0320307495195388 0.179694519317161 0.0677506775067751 0.145348837209302 0.0741289844329133 0 0 0.149579150187608 0.230932310332643 0.200497645437907
"habe" 0.208061611080057 0.0399095383796727 0.162551281058905 0.0208920923430482 0.0400737356736395 0.244565217391304 0.10205518018018 0.0527634876665348 0.228102189781022 0.0640614990390775 0.0898472596585804 0 0 0 0 0 0.36507453605111 0.15521679874817 0.217976927347879
"schon" 0.203403515309608 0.332579486497273 0.154810743865624 0.307113757442808 0.168309689829286 0.0543478260869565 0.119650900900901 0.151695027041287 0.0912408759124088 0.25624599615631 0.157232704402516 0.40650406504065 0.0726744186046512 0.44477390659748 0.148148148148148 0.0943841434638981 0.103944833181219 0.193074554540407 0.150630282341812
"mein" 0.0753058816222595 0.545430357855528 0.224475578605155 0.135798600229813 0.528973310892041 0.298913043478261 0.327280405405405 0.362748977707426 0.684306569343066 0.736707238949391 0.179694519317161 0.2710027100271 0.145348837209302 0.370644922164566 0 0.377536573855592 0.327045938545786 0.0643581848468023 0.167081371198256
"wohl" 0.157598906900193 0.266063589197818 0.224475578605155 0.192207249556043 0.376693115332211 0.326086956521739 0.281531531531532 0.164885898957921 0.136861313868613 0.192184497117233 0.224618149146451 0.0677506775067751 0.218023255813953 0.148257968865827 0.148148148148148 0.424728645587541 0.195213467193997 0.176669527030438 0.125953649057147
"hier" 0.274051301161419 0.1463349740588 0.154810743865624 0.336362686723075 0.216398172637653 0.108695652173913 0.161880630630631 0.257222002374357 0.547445255474453 0.160153747597694 0.224618149146451 0 0.218023255813953 0 0 0 0.159720109522361 0.109787491797486 0.0853400234428016
"mehr" 0.153717160424818 0.0931222562192364 0.150940475268984 0.0898359970751071 0.136250701290374 0.0543478260869565 0.172438063063063 0.0791452314998021 0.136861313868613 0 0.157232704402516 0.0677506775067751 0 0.22238695329874 0.148148148148148 0.235960358659745 0.157184869688673 0.243551562263389 0.175821012153242
"immer" 0.175454940686914 0.119728615139018 0.185772892638749 0.114906507886765 0.112206459886191 0.135869565217391 0.0809403153153153 0.118717847249703 0.0912408759124088 0.0640614990390775 0.247079964061096 0.13550135501355 0.218023255813953 0.296515937731653 0 0.755073147711185 0.154649629854984 0.198122255312705 0.162968598984145
"zum" 0.149835413949444 0.319276307037382 0.135459400882421 0.311292175911418 0.144265448425102 0.217391304347826 0.158361486486486 0.283603746207624 0.228102189781022 0.128122998078155 0.202156334231806 0.203252032520325 0.0726744186046512 0.296515937731653 0.296296296296296 0.047192071731949 0.147043910353919 0.166574125485841 0.1223549733698
