Source,Target,Weight,Type
Lyrik_Gott,_Gemuet_und_Welt.11hks.0,Lyrik_Elegien_2_Der_neue_Pausias_und_sein_Blumenmaedchen.11g73.0,2,undirected
Lyrik_Gott,_Gemuet_und_Welt.11hks.0,Lyrik_Elegien_2_Euphrosyne.11ft0.0,1,undirected
Lyrik_Zahme_Xenien_4.11d4r.0,Drama_Egmont.11g9w.0,2,undirected
Lyrik_Zahme_Xenien_4.11d4r.0,Drama_Faust._Der_Tragoedie_zweiter_Teil.11d11.0,1,undirected
Lyrik_Zahme_Xenien_4.11d4r.0,Drama_Goetz_von_Berlichingen_mit_der_eisernen_Hand.11g1d.0,3,undirected
Roman_Die_Leiden_des_jungen_Werther.11cvr.0,Auto_Italienische_Reise.11f7b.0,2,undirected
Roman_Die_Leiden_des_jungen_Werther.11cvr.0,Drama_Egmont.11g9w.0,2,undirected
Roman_Die_Leiden_des_jungen_Werther.11cvr.0,Drama_Goetter,_Helden_und_Wieland.11h60.0,2,undirected
Roman_Die_Leiden_des_jungen_Werther.11cvr.0,Drama_Goetz_von_Berlichingen_mit_der_eisernen_Hand.11g1d.0,2,undirected
Roman_Die_Leiden_des_jungen_Werther.11cvr.0,Drama_Iphigenie_auf_Tauris.11f78.0,1,undirected
Roman_Die_Leiden_des_jungen_Werther.11cvr.0,Drama_Prometheus.11gx9.0,3,undirected
Roman_Die_Leiden_des_jungen_Werther.11cvr.0,Roman_Die_Wahlverwandtschaften.11hnp.0,3,undirected
Roman_Die_Leiden_des_jungen_Werther.11cvr.0,Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0,4,undirected
Roman_Die_Wahlverwandtschaften.11hnp.0,Auto_Italienische_Reise.11f7b.0,5,undirected
Roman_Die_Wahlverwandtschaften.11hnp.0,Roman_Die_Leiden_des_jungen_Werther.11cvr.0,3,undirected
Roman_Die_Wahlverwandtschaften.11hnp.0,Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0,6,undirected
Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0,Auto_Italienische_Reise.11f7b.0,4,undirected
Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0,Drama_Egmont.11g9w.0,1,undirected
Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0,Roman_Die_Leiden_des_jungen_Werther.11cvr.0,4,undirected
Roman_Wilhelm_Meisters_Lehrjahre.11d3w.0,Roman_Die_Wahlverwandtschaften.11hnp.0,6,undirected
