filename acts scenes speakers author title year
ger000031-lessing-damon.tei.xml 0 10 5 Gotthold Lessing Damon, oder die wahre Freundschaft 1747
ger000285-tieck-der-gestiefelte-kater.tei.xml 3 14 46 Ludwig Tieck Der gestiefelte Kater 1797
ger000488-kotzebue-graf-benjowsky.tei.xml 5 34 15 August Kotzebue Graf Benjowsky, oder: die Verschwörung auf Kamtschatka 1795
ger000538-gryphius-cardenio-und-celinde.tei.xml 5 0 15 Andreas Gryphius Cardenio und Celinde oder Unglücklich Verliebete 1657
lessing_emilia.xml 5 43 10 Gotthold Lessing Emilia Galotti 1772
lessing_misogyn.xml 3 23 7 Gotthold Lessing Der Misogyn 1755
lessing_nathan.xml 5 41 10 Gotthold Lessing Nathan der Weise 1779
